name,province,district,beds (2024),funding,specialty
Than To Hospital,Yala,Than To,36,Public,
Thanakan Hospital,Kanchanaburi,,,Private,
Thanyaburi Hospital,Pathum Thani,Thanyaburi,120,Public,
Thanyarak Institute,Pathum Thani,,,Public,
Thap Khlo Hospital,Phichit,Thap Khlo,28,Public,
Thap Put Hospital,Phang Nga,Thap Put,39,Public,
Thap Sakae Hospital,Prachuap Khiri Khan,Thap Sakae,60,Public,
Thap Than Hospital,Uthai Thani,Thap Than,90,Public,
That Phanom Crown Prince Hospital,Nakhon Phanom,That Phanom,234,Public,
Thatsanavet Hospital,Phichit,,,Private,
Thawat Buri Hospital,Roi Et,Thawat Buri,38,Public,
The 50th Anniversary Mahavajiralongkorn Hospital,Ubon Ratchathani,Mueang,258,,
The Golden Gate Hospital,Nakhon Ratchasima,,,Private,
The Senior Health Care,Bangkok,,,Private,
The Senior Health Care Ratchadaphisek,Bangkok,,,Private,
Thep Sathit Hospital,Chaiyaphum,Thep Sathit,38,Public,
Thepakorn Hospital,Nakhon Pathom,,,Private,
Thepha Hospital,Songkhla,Thepha,60,Public,
Thepharak Hospital,Nakhon Ratchasima,Thepharak,30,Public,
Theppanya Hospital,Chiang Mai,,,Private,
Theppharat Nakhon Ratchasima Hospital,Nakhon Ratchasima,,,Public,
Theptarin Hospital,Bangkok,,,Private,
Thian Fah Foundation Hospital,Bangkok,,,Private,
Thoen Hospital,Lampang,Thoen,87,Public,
Thoeng Hospital,Chiang Rai,Thoeng,90,Public,
Thonburi 2 Hospital,Bangkok,,,Private,
Thonburi Chumphon Hospital,Chumphon,,,Private,
Thonburi Hospital,Bangkok,,,Private,
Thonburi U Thong Hospital,Suphanburi,,,Private,
Thong Pha Phum Hospital,Kanchanaburi,Thong Pha Phum,95,Public,
Thong Saen Khan Hospital,Uttaradit,Thong Saen Khan,36,Public,
Thung Chang Hospital,Nan,Thung Chang,30,Public,
Thung Fon Hospital,Udon Thani,Thung Fon,30,Public,
Thung Hua Chang Hospital,Lamphun,Thung Hua Chang,30,Public,
Thung Khao Luang Hospital,Roi Et,Thung Khao Luang,10,Public,
Thung Pho Thale Hospital,Kamphaeng Phet,Thung Pho Thale,10,Public,
Thung Saliam Hospital,Sukhothai,Thung Saliam,40,Public,
Thung Si Udom Hospital,Ubon Ratchathani,Thung Si Udom,30,Public,
Thung Song Hospital,Nakhon Si Thammarat,Thung Song,330,Public,
Thung Tako Hospital,Chumphon,Thung Tako,30,Public,
Thung Wa Hospital,Satun,Thung Wa,30,Public,
Thung Yai Hospital,Nakhon Si Thammarat,Thung Yai,75,Public,
Thung Yang Daeng Hospital,Pattani,Thung Yang Daeng,30,Public,
Tong Sia Siang Teung Foundation Hospital,Songkhla,,,Private,
Trakan Phuet Phon Hospital,Ubon Ratchathani,Trakan Phuet Phon,176,Public,
Trang Hospital,Trang,Mueang,559,Public,
Trang Regional Center of Tropical Dermatology,Trang,,,Public,Dermatology
Trangruampat Hospital,Trang,,,Private,
Trat Hospital,Trat,Mueang,395,Public,
Tron Hospital,Uttaradit,Tron,35,Public,
Tulakan Chaloem Phrakiat Hospital,Nakhon Pathom,,,Public,
U Thong Hospital,Suphan Buri,U Thong,134,,
U Thong Hospital,Suphanburi,,,Public,
Ubolratana Hospital,Khon Kaen,Ubolratana,60,Public,
Ubon Ratchathani Cancer Center,Ubon Ratchathani,,,Public,Oncology
Ubon Ratchathani University Hospital,Ubon Ratchathani,,,Public,
Ubonrak Thonburi Hospital,Ubon Ratchathani,,,Private,
Udon Thani Cancer Center,Udon Thani,,,Public,Oncology
Udon Thani Drug Dependence Treatment Center,Udon Thani,,,Public,
Udon Thani Hospital,Udon Thani,Mueang,1143,Public,
Umphang Hospital,Tak,Umphang,75,Public,
University of Phayao Medical Center and Hospital,Phayao,,,Public,
Uthai Hospital,Ayutthaya,,,Public,
Uthai Hospital,Phra Nakhon Si Ayutthaya,Uthai,38,,
Uthai Thani Hospital,Uthai Thani,Mueang,365,Public,
Uthumphon Phisai Hospital,Sisaket,Uthumphon Phisai,130,Public,
Uttaradit Hospital,Uttaradit,Mueang,655,Public,
Vachira Phuket Hospital,Phuket,Mueang,550,Public,
Vajira Hospital,Bangkok,,,Public,
Veerapolkanpat Hospital,Nong Bua Lamphu,,,Private,
Vejprasit Hospital,Khon Kaen,,,Private,
Vejthani Hospital,Bangkok,,,Private,
Veterans General Hospital,Bangkok,,,Public,
Vibharam Hospital,Bangkok,,,Private,
Vibharam Laem Chabang Hospital,Chonburi,,,Private,
Vibhavadi Hospital,Bangkok,,,Private,
Vibhavadi Hospital,Surat Thani,Vibhavadi,30,Public,
Vibhavadi Piyarasd Hospital,Suphanburi,,,Private,
Vichaiyut Chronic Care Centre,Bangkok,,,Private,
Vichaiyut Hospital,Bangkok,,,Private,
Vichaiyut Medical Center,Bangkok,,,Private,
Viengvej Hospital,Surat Thani,,,Private,
Vincent Wood Health Centre,Lampang,,,Private,
Virajsilp Hospital,Chumphon,,,Private,
Wachirabarami Hospital,Phichit,Wachirabarami,30,Public,
Waeng Hospital,Narathiwat,Waeng,60,Public,
Waeng Noi Hospital,Khon Kaen,Waeng Noi,34,Public,
Waeng Yai Hospital,Khon Kaen,Waeng Yai,36,Public,
Walailak University Hospital,Nakhon Si Thammarat,,,Public,
Wan Yai Hospital,Mukdahan,Wan Yai,30,Public,
Wang Chan Hospital,Rayong,Wang Chan,43,Public,
Wang Chao Hospital,Tak,Wang Chao,30,Public,
Wang Chin Hospital,Phrae,Wang Chin,36,Public,
Wang Hin Hospital,Sisaket,Wang Hin,34,Public,
Wang Muang Hospital,Saraburi,,,Public,
Wang Muang Sattatham Hospital,Saraburi,Wang Muang,33,,
Wang Nam Khiao Hospital,Nakhon Ratchasima,Wang Nam Khiao,51,Public,
Wang Nam Yen Hospital,Sa Kaeo,Wang Nam Yen,76,Public,
Wang Noi Hospital,Ayutthaya,,,Public,
Wang Noi Hospital,Phra Nakhon Si Ayutthaya,Wang Noi,68,,
Wang Nuea Hospital,Lampang,Wang Nuea,30,Public,
Wang Pong Hospital,Phetchabun,Wang Pong,30,Public,
Wang Sai Phun Hospital,Phichit,Wang Sai Phun,30,Public,
Wang Sam Mo Hospital,Udon Thani,Wang Sam Mo,55,Public,
Wang Saphung Hospital,Loei,Wang Saphung,120,Public,
Wang Sombun Hospital,Sa Kaeo,Wang Sombun,34,Public,
Wang Thong Hospital,Phitsanulok,Wang Thong,68,Public,
Wang Wiset Hospital,Trang,Wang Wiset,34,Public,
Wang Yang Hospital,Nakhon Phanom,Wang Yang,20,Public,
Wanon Niwat Hospital,Sakon Nakhon,Wanon Niwat,264,Public,
Wapi Pathum Hospital,Maha Sarakham,Wapi Pathum,120,Public,
Warichaphum Hospital,Sakon Nakhon,Warichaphum,43,Public,
Warin Chamrap Hospital,Ubon Ratchathani,Warin Chamrap,264,Public,
Wat Bang Pla (Samut Sakhon 4) Hospital,Samut Sakhon,Mueang,74,,
Wat Bot Hospital,Phitsanulok,Wat Bot,30,Public,
Wat Chan Chaloem Phrakiat Hospital,Chiang Mai,Galyani Vadhana,25,,
Wat Chan Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Chiang Mai,,,Public,
Wat Ketmadeesriwararam (Samut Sakhon 2) Hospital,Samut Sakhon,Mueang,74,,
Wat Phleng Hospital,Ratchaburi,Wat Phleng,38,Public,
Wat Sing Hospital,Chai Nat,Wat Sing,30,Public,
Wat Sing Hospital,Chainat,,,Public,
Wat Yansangwararam Hospital,Chonburi,Bang Lamung,31,Public,
Wattanapat Hospital,Trang,,,Private,
Wattanavej Hospital,Ratchaburi,,,Private,
Wattanosoth Cancer hospital,Bangkok,,,Private,
Watthana Nakhon Hospital,Sa Kaeo,Watthana Nakhon,75,Public,
Wetchakarunrasm Hospital,Bangkok,,,Public,
Wiang Chiang Rung Hospital,Chiang Rai,Wiang Chiang Rung,30,Public,
Wiang Haeng Hospital,Chiang Mai,Wiang Haeng,30,Public,
Wiang Kaen Hospital,Chiang Rai,Wiang Kaen,34,Public,
Wiang Kao Hospital,Khon Kaen,Wiang Kao,0,Public,
Wiang Nong Long Hospital,Lamphun,Wiang Nong Long,16,Public,
Wiang Pa Pao Hospital,Chiang Rai,Wiang Pa Pao,81,Public,
Wiang Sa Crown Prince Hospital,Surat Thani,Wiang Sa,120,Public,
Wiang Sa Hospital,Nan,Wiang Sa,78,Public,
Wichian Buri Hospital,Phetchabun,Wichian Buri,243,Public,
Wihan Daeng Hospital,Saraburi,Wihan Daeng,48,Public,
Wiset Chai Chan Hospital,Ang Thong,Wiset Chai Chan,97,Public,
Yaha Crown Prince Hospital,Yala,Yaha,90,Public,
Yala Hospital,Yala,Mueang,553,Public,
Yan Ta Khao Hospital,Trang,Yan Ta Khao,94,Public,
Yang Chum Noi Hospital,Sisaket,Yang Chum Noi,33,Public,
Yang Si Surat Hospital,Maha Sarakham,Yang Si Surat,30,Public,
Yang Talat Hospital,Kalasin,Yang Talat,162,Public,
Yanhee Hospital,Bangkok,,,Private,
Yaowarak Hospital,Bangkok,,,Private,
Yarang Hospital,Pattani,Yarang,64,Public,
Yaring Hospital,Pattani,Yaring,69,Public,
Yasothon Hospital,Yasothon,Mueang,485,Public,
Yi Ngo Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Narathiwat,,,Public,
Yi-ngo Chaloem Phrakiat Hospital,Narathiwat,Yi-ngo,60,Public,
Yotse Hospital,Bangkok,,,Private,
Yuwaprasart Waithayopathum Hospital,Samut Prakan,,,Public,Psychiatry
